DateTime,Temperature_C,Humidity_%,Rainfall_mm,NDVI_mean
2025-08-31 18:00:00,26.02,90,5.67,0.2774866991136632
2025-08-31 21:00:00,25.4,92,1.1,0.2774866991136632
2025-09-01 00:00:00,24.54,93,0.18,0.2774866991136632
2025-09-01 03:00:00,26.21,85,0.16,0.2774866991136632
2025-09-01 06:00:00,29.29,73,0.0,0.2774866991136632
2025-09-01 09:00:00,30.2,71,3.4,0.2774866991136632
2025-09-01 12:00:00,28.35,80,1.76,0.2774866991136632
2025-09-01 15:00:00,26.31,86,6.09,0.2774866991136632
2025-09-01 18:00:00,25.14,91,8.45,0.2774866991136632
2025-09-01 21:00:00,24.62,92,3.83,0.2774866991136632
2025-09-02 00:00:00,23.66,94,2.43,0.2774866991136632
2025-09-02 03:00:00,23.78,94,0.7,0.2774866991136632
2025-09-02 06:00:00,25.73,87,0.62,0.2774866991136632
2025-09-02 09:00:00,28.18,79,1.06,0.2774866991136632
2025-09-02 12:00:00,26.15,87,3.22,0.2774866991136632
2025-09-02 15:00:00,25.26,90,4.74,0.2774866991136632
2025-09-02 18:00:00,24.42,95,2.73,0.2774866991136632
2025-09-02 21:00:00,24.08,95,0.29,0.2774866991136632
2025-09-03 00:00:00,23.84,95,0.23,0.2774866991136632
2025-09-03 03:00:00,25.84,88,1.3,0.2774866991136632
2025-09-03 06:00:00,26.02,88,5.77,0.2774866991136632
2025-09-03 09:00:00,27.89,82,5.72,0.2774866991136632
2025-09-03 12:00:00,24.58,96,12.92,0.2774866991136632
2025-09-03 15:00:00,24.49,95,1.42,0.2774866991136632
2025-09-03 18:00:00,23.72,98,6.73,0.2774866991136632
2025-09-03 21:00:00,23.39,97,7.45,0.2774866991136632
2025-09-04 00:00:00,23.15,97,0.92,0.2774866991136632
2025-09-04 03:00:00,24.22,93,0.0,0.2774866991136632
2025-09-04 06:00:00,25.55,89,0.56,0.2774866991136632
2025-09-04 09:00:00,26.4,85,0.69,0.2774866991136632
2025-09-04 12:00:00,24.62,89,1.05,0.2774866991136632
2025-09-04 15:00:00,23.75,91,0.0,0.2774866991136632
2025-09-04 18:00:00,23.26,92,0.0,0.2774866991136632
2025-09-04 21:00:00,22.39,96,0.0,0.2774866991136632
2025-09-05 00:00:00,22.65,94,0.0,0.2774866991136632
2025-09-05 03:00:00,23.89,90,0.0,0.2774866991136632
2025-09-05 06:00:00,25.26,87,0.62,0.2774866991136632
2025-09-05 09:00:00,24.31,92,0.39,0.2774866991136632
2025-09-05 12:00:00,24.63,91,0.0,0.2774866991136632
2025-09-05 15:00:00,23.93,93,0.0,0.2774866991136632
